Market,Client/Sponsor,Project ,Due Date,Task,Complete,Team,ME,Deployment,Notes,Missed Deadline
Dermatology,Skinceuticals,EP PIA,"Monday, December 9, 2024",Skinceuticals selects preferred article focus and NP or PA to be featured; editorial completes initial reach out,TRUE,JE,JE,,Late from Friday ,FALSE
Dermatology,Skinceuticals,EP PIA,"Thursday, December 12, 2024",SkinCeuticals provides any product line-specific literature that should be passed on to KOL,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, December 13, 2024",Review questions submitted to SkinCeuticals for review,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Friday, December 20, 2024",New 2025 OPZ AD Display Banners due,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Friday, December 20, 2024",New 2025 OPZ VIT Display Banners due,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, December 20, 2024",Questions finalized and sent to KOL for interview prep,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, December 30, 2024",Interview with SkinC KOL Jen Puleo,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Wednesday, January 1, 2025",Update 2025 OPZ AD Banners on JCADTV,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Wednesday, January 1, 2025",Update 2025 OPZ VIT Banners on JCADTV,TRUE,JE,JE,,,FALSE
Dermatology,Ortho/Cabtreo,NPPA/PIA,"Wednesday, January 1, 2025",Place Cabtreo 728x90 and 300x250 ads on NPPA homepage,TRUE,AV,AV,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 2, 2025",Tagrisso January CE (FLAURA2) materials due,TRUE,"AV, AT",AV,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Thursday, January 2, 2025",Verzenio January CE materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 3, 2025",JCAD Feb25 Copyedit Complete,TRUE,GV,JE,,,FALSE
